_COMMON_NAME_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Penis worm	pcau	GCA_000485595.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/595/GCF_000485595.1_Priapulus_caudatus-5.0.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Priapulus_caudatus/100/	Washington University (WashU)	https://genome.wustl.edu/
Atlantic horseshoe crab	lpol	GCA_000517525.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/525/GCF_000517525.1_Limulus_polyphemus-2.1.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Limulus_polyphemus/101/	Washington University (WashU)	https://genome.wustl.edu/
Common house spider	ptep	GCA_000365465.3	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/465/GCF_000365465.3_Ptep_3.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Parasteatoda_tepidariorum/102/	The i5k Initiative, Baylor College of Medicine	https://www.hgsc.bcm.edu/arthropods/i5k
Bark scorpion	cscu	GCA_000671375.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/375/GCF_000671375.1_Cexi_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Centruroides_sculpturatus/100/	The i5k Initiative, Baylor College of Medicine	https://www.hgsc.bcm.edu/arthropods/i5k
European house dust mite	dpte	GCA_001901225.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/225/GCF_001901225.1_ASM190122v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dermatophagoides_pteronyssinus/100/	Maynooth University	https://www.maynoothuniversity.ie/
Pharaoh ant	mpha	GCA_013373865.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/373/865/GCF_013373865.1_ASM1337386v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Monomorium_pharaonis/102/	CNGB, BGI	https://en.genomics.cn/en-gene.html
Clonal raider ant	obir	GCA_003672135.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/672/135/GCF_003672135.1_Obir_v5.4	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Ooceraea_biroi/100/	The Rockefeller University	https://www.rockefeller.edu/
Parasitoid wasp	agif	GCA_014905175.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/175/GCF_014905175.1_ASM1490517v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Aphidius_gifuensis/100/	College of Plant Protection, CAU	https://en.cau.edu.cn/
White butterfly parasite wasp	cglo	GCA_020080835.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/080/835/GCF_020080835.1_MPM_Cglom_v2.3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Cotesia_glomerata/100/	Milwaukee Public Museum	https://www.mpm.edu/
Black tiger shrimp	pmon	GCA_015228065.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/228/065/GCF_015228065.1_NSTDA_Pmon_1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Penaeus_monodon/100/	SAFE-Aqua	http://www.safeaqua-project.net/
Acorn worm	skow	GCA_000003605.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/605/GCF_000003605.2_Skow_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Saccoglossus_kowalevskii/101/	Baylor College of Medicine	https://www.hgsc.bcm.tmc.edu/
Sea lily	ajap	GCA_011630105.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/630/105/GCF_011630105.1_ASM1163010v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Anneissia_japonica/100/	Center for Ecological and Environmental Sciences	https://en.nwpu.edu.cn/
Green sea urchin	lvar	GCA_018143015.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/143/015/GCF_018143015.1_Lvar_3.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Lytechinus_variegatus/100/	Duke University	https://duke.edu/
Carnation coral	dgig	GCA_004324835.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/324/835/GCF_004324835.1_DenGig_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dendronephthya_gigantea/100/	Ulsan National Institute of Science and Technology	https://www.unist.ac.kr/
Swiftwater hydra	hvul	GCA_000004095.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/095/GCF_000004095.1_Hydra_RP_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Hydra_vulgaris/102/	J. Craig Venter Institute (JCVI)	https://www.jcvi.org/
Mountainous star coral	ofav	GCA_002042975.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/042/975/GCF_002042975.1_ofav_dov_v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Orbicella_faveolata/100/	Smithsonian Tropical Research Institute	https://www.stri.si.edu/
Cauliflower coral	pdam	GCA_003704095.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/095/GCF_003704095.1_ASM370409v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pocillopora_damicornis/100/	University of Miami	https://welcome.miami.edu/
Hood coral	spis	GCA_002571385.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/571/385/GCF_002571385.1_Stylophora_pistillata_v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Stylophora_pistillata/100/	King Abdullah University of Science and Technology (KAUST)	https://reefgenomics.kaust.edu.sa/
Corn leaf aphid	rmai	GCA_003676215.3	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/215/GCF_003676215.2_ASM367621v3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhopalosiphum_maidis/101/	Cornell University	https://www.cornell.edu/
Russian wheat aphid	dnox	GCA_001186385.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/385/GCF_001186385.1_Dnoxia_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Diuraphis_noxia/100/	USDA-ARS, Stillwater, Oklahoma	https://www.ars.usda.gov/plains-area/stillwater-ok/wheat-peanut-and-other-field-crops-research/
Yellow sugarcane aphid	sfla	GCA_003268045.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/268/045/GCF_003268045.1_YSA_version1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Sipha_flava/100/	USDA-ARS Center for Grain and Animal Health Research	https://www.ars.usda.gov/plains-area/mhk/cgahr/
Queensland fruitfly	btry	GCA_016617805.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/617/805/GCF_016617805.1_CSIRO_BtryS06_freeze2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bactrocera_tryoni/100/	CSIRO	https://www.csiro.au/en/about/people/business-units/health-and-biosecurity
Oriental fruit fly	bdor	GCA_000789215.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/215/GCF_000789215.1_ASM78921v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bactrocera_dorsalis/102/	USDA-ARS PBARC	https://www.ars.usda.gov/pacific-west-area/hilo-hi/daniel-k-inouye-us-pacific-basin-agricultural-research-center/
Solanum fruit fly	blat	GCA_001853355.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/355/GCF_001853355.1_ASM185335v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bactrocera_latifrons/100/	USDA-ARS PBARC	https://www.ars.usda.gov/pacific-west-area/hilo-hi/daniel-k-inouye-us-pacific-basin-agricultural-research-center/
Black soldier fly	hilu	GCA_905115235.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/115/235/GCF_905115235.1_iHerIll2.2.curated.20191125	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Hermetia_illucens/100/	Butterfly Genetics Group, Dept. of Zoology, University of Cambridge, UK	https://www.zoo.cam.ac.uk/research/evolutionary-genetics-and-genomics/butterfly-genetics
Apple magot fly	rpom	GCA_013731165.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/731/165/GCF_013731165.1_Rhpom_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhagoletis_pomonella/100/	Department of Entomology, University of Illinois at Urbana-Champaign	https://sib.illinois.edu/entomology/
Mountain pine beetle	dpon	GCA_000355655.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/655/GCF_000355655.1_DendPond_male_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dendroctonus_ponderosae/100/	The Tria Project: Mountain Pine Beetle System Genomics	https://www.thetriaproject.ca/
Colorado potato beetle	ldec	GCA_000500325.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/500/325/GCF_000500325.1_Ldec_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Leptinotarsa_decemlineata/100/	The i5k Initiative, Baylor College of Medicine	https://www.hgsc.bcm.edu/arthropods/i5k
Western corn rootworm	dvir	GCA_003013835.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/835/GCF_003013835.1_Dvir_v2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Diabrotica_virgifera_virgifera/100/	Department of Entomology, University of Illinois at Urbana-Champaign	https://sib.illinois.edu/entomology/
Emerald ash borer	apla	GCA_000699045.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/045/GCF_000699045.2_Apla_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Agrilus_planipennis/101/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/arthropods/i5k
California sea hare	acal	GCA_000002075.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Aplysia_californica/102/	Broad Institute	https://www.broadinstitute.org/
Eastern oyster	cvig	GCA_002022765.4	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/765/GCF_002022765.2_C_virginica-3.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Crassostrea_virginica/100/	McDonnell Genome Institute	https://www.genome.wustl.edu/
Deep sea snail	gaeg	GCA_016097555.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/097/555/GCF_016097555.1_Gae_host_genome	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Gigantopelta_aegis/100/	Hong Kong University of Science and Technology	https://hkust.edu.hk/
Apple snail	pcan	GCA_003073045.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/045/GCF_003073045.1_ASM307304v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pomacea_canaliculata/100/	Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	http://agis.caas.cn/

Dung beetle	otau	GCA_000648695.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/695/GCF_000648695.1_Otau_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Onthophagus_taurus/100/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Coleseed sawfly	aros	GCA_000344095.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/095/GCF_000344095.2_Aros_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Athalia_rosae/102/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Western predatory mite	gocc	GCA_000255335.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/335/GCF_000255335.1_Mocc_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Galendromus_occidentalis/102/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Parasitic wood wasp	oabi	GCA_000612105.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/105/GCF_000612105.2_Oabi_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Orussus_abietinus/101/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Parasitoid wasp	tpre	GCA_000599845.3	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/845/GCF_000599845.2_Tpre_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Trichogramma_pretiosum/101/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Parasitoid wasp	cflo	GCA_000648655.2	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/655/GCF_000648655.2_Cflo_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Copidosoma_floridanum/101/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/
Mediterranean fruit fly	ccap	GCA_000347755.4	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/347/755/GCF_000347755.3_Ccap_2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Ceratitis_capitata/103/	The BCM-HGSC i5K pilot project	https://www.hgsc.bcm.edu/arthropods/i5k


# Octopus confuision -- excluded:
#  GCA_006345805.1 has "taxon:2607531" (Octopus sinensis),
#  GCF_006345805.1 gbff has "taxon:6645" (Octopus vulgaris)
#East Asian common octopus	osin	GCA_006345805.1	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/345/805/GCF_006345805.1_ASM634580v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Octopus_sinensis/101/	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	http://www.ysfri.ac.cn/

# cat _refseq_107.lst | grep -vF '#' | grep -vP '^\s*$' | awk -F "\t" '{print NF}' | sort | uniq -c
# cd ../../
# python3 ./scripts/tmpl2meta.py --template meta/refseq.tmpl --param_table meta/106/_refseq_107.lst --output_dir meta/106 --out_file_pfx rst_
