_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Acorn barnacle	Amphibalanus amphitrite	abal	GCA_019059575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/059/575/GCF_019059575.1_NRLGWU_Aamphi_draft	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Amphibalanus_amphitrite/100	NCBI Amphibalanus amphitrite Annotation Release 100	Naval Research Laboratory	https://www.nrl.navy.mil/
Fresh water planktonic 	Daphnia magna	dmag	GCA_020631705.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/631/705/GCF_020631705.1_ASM2063170v1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Daphnia_magna/101	NCBI Daphnia magna Annotation Release 101	Sungkyunkwan University	https://cscience.skku.edu/eng_cscience/intro/faculty_bio.do
Calanoid copepod	Eurytemora affinis	eaff	GCA_000591075.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/591/075/GCF_000591075.1_Eaff_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Eurytemora_affinis/100	NCBI Eurytemora affinis Annotation Release 100	The i5k Initiative, Baylor College of Medicine	https://www.hgsc.bcm.edu/arthropods
American lobster 	Homarus americanus	hame	GCA_018991925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/991/925/GCF_018991925.1_GMGI_Hamer_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Homarus_americanus/100	NCBI Homarus americanus Annotation Release 100	Gloucester Marine Genomics Institute, Inc.	https://gmgi.org/
Amphipod	Hyalella azteca	hazt	GCA_000764305.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/305/GCF_000764305.1_Hazt_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Hyalella_azteca/100	NCBI Hyalella azteca Annotation Release 100	BCM-HGSC i5k initiative (arthropods) Hyalella azteca Genome Project	https://www.hgsc.bcm.edu/arthropods/hyalella-azteca-genome-project
Kuruma shrimp	Penaeus japonicus	pjap	GCA_017312705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/312/705/GCF_017312705.1_Mj_TUMSAT_v1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Penaeus_japonicus/100	NCBI Penaeus japonicus Annotation Release 100	Laboratory of Genome Science Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology	https://www2.kaiyodai.ac.jp/~h-kondo/genome/index.html
Pacific white shrimp	Penaeus vannamei	pvan	GCA_003789085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/789/085/GCF_003789085.1_ASM378908v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Penaeus_vannamei/100/	NCBI Penaeus vannamei Annotation Release 100	Institute of Oceanology, Chinese Academy of Sciences	http://english.qdio.cas.cn/
Goose neck barnacle	Pollicipes pollicipes	ppol	GCA_011947565.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/947/565/GCF_011947565.2_Ppol_2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pollicipes_pollicipes/100	NCBI Pollicipes pollicipes Annotation Release 100	George Washington University	https://cbi.gwu.edu/
Swimming crab	Portunus trituberculatus	ptri	GCA_017591435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/591/435/GCF_017591435.1_ASM1759143v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Portunus_trituberculatus/100	NCBI Portunus trituberculatus Annotation Release 100	Center for Ecological and Environmental Sciences, Northwestern Polytechnical University	https://en.nwpu.edu.cn/
Red swamp crayfish	Procambarus clarkii	pcla	GCA_020424385.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/424/385/GCF_020424385.1_ASM2042438v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Procambarus_clarkii/100	NCBI Procambarus clarkii Annotation Release 100	Freshwater Fisheries Research Institute of Jiangsu Province (China)	https://www.ffrc.cn/English/AboutFFRC/Introduction.htm
