_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Fruit fly	Drosophila ananassae	Diptera	dana	GCA_017639315.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/315/GCF_017639315.1_ASM1763931v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_ananassae/102/	NCBI Drosophila ananassae Annotation Release 102	University of Maryland, Baltimore	https://www.umaryland.edu/
Fruit fly	Drosophila pseudoobscura	Diptera	dpse	GCA_009870125.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/870/125/GCF_009870125.1_UCI_Dpse_MV25	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_pseudoobscura/104/	NCBI Drosophila pseudoobscura Annotation Release 104	University of California, Irvine	https://uci.edu/
Fruit fly	Drosophila simulans	Diptera	dsim	GCA_016746395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/395/GCF_016746395.2_Prin_Dsim_3.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_simulans/103/	NCBI Drosophila simulans Annotation Release 103	Princeton University	https://www.princeton.edu/
Fruit fly	Drosophila willistoni	Diptera	dwil	GCA_018902025.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/902/025/GCF_018902025.1_UCI_dwil_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_willistoni/102/	NCBI Drosophila willistoni Annotation Release 102	University of California, Irvine	https://uci.edu/
Fruit fly	Drosophila yakuba	Diptera	dyak	GCA_016746365.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/365/GCF_016746365.2_Prin_Dyak_Tai18E2_2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_yakuba/102/	NCBI Drosophila yakuba Annotation Release 102	Princeton University	https://www.princeton.edu/
Fruit fly	Drosophila albomicans	Diptera	dalb	GCA_009650485.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/485/GCF_009650485.2_ASM965048v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_albomicans/101/	NCBI Drosophila albomicans Annotation Release 101	University of California Berkeley	https://www.berkeley.edu/
Fruit fly	Drosophila busckii	Diptera	dbus	GCA_011750605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/750/605/GCF_011750605.1_ASM1175060v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_busckii/101/	NCBI Drosophila busckii Annotation Release 101	Max Planck Institute of Immunobiology and Epigenetics	https://www.ie-freiburg.mpg.de/
Fruit fly	Drosophila mauritiana	Diptera	dmau	GCA_004382145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/382/145/GCF_004382145.1_ASM438214v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_mauritiana/100/	NCBI Drosophila mauritiana Annotation Release 100	University of California, Irvine	https://uci.edu/
Fruit fly	Drosophila miranda	Diptera	dmir	GCA_003369915.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/915/GCF_003369915.1_D.miranda_PacBio2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_miranda/102/	NCBI Drosophila miranda Annotation Release 102	Bachtrog Lab, UC Berkeley	https://bachtroglabberkeley.wordpress.com/
Fruit fly	Drosophila santomea	Diptera	dsan	GCA_016746245.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/746/245/GCF_016746245.2_Prin_Dsan_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_santomea/101/	NCBI Drosophila santomea Annotation Release 101	Princeton University	https://www.princeton.edu/
Fruit fly	Drosophila subobscura	Diptera	dsubo	GCA_008121235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/121/235/GCF_008121235.1_UCBerk_Dsub_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_subobscura/100/	NCBI Drosophila subobscura Annotation Release 100	UC Berkeley	https://www.berkeley.edu/
Fruit fly	Drosophila subpulchrella	Diptera	dsubp	GCA_014743375.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/743/375/GCF_014743375.2_RU_Dsub_v1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_subpulchrella/100/	NCBI Drosophila subpulchrella Annotation Release 100	The Rockefeller University	https://www.rockefeller.edu/
