taxon_id	scientific_name	_COMMON_NAME_	_ABBREV_	_GENOME_ACCESSION_	_GENOME_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ANNOTATION_PROVIDER_NAME_	_ANNOTATION_SOURCE_	_ANNOTATION_SOURCE_SFX_	_LOAD_GFF3_ANALYSIS_NAME_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_
120091	Centruroides vittatus		cvitta	GCF_030686945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/686/945/GCF_030686945.1_ASM3068694v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Centruroides_vittatus/GCF_030686945.1-RS_2024_08.html	GCF_030686945.1-RS_2024_08	Arkansas tech University	NCBI RefSeq	refseq	rs	refseq_import_visible		
3140520	Toumeyella liriodendri		tlirio	GCA_041937245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/937/245/GCA_041937245.1_UF_Toli_1.0	https://zenodo.org/records/12611068		University of Florida	University of Florida	community	cm	gff3_genes	https://zenodo.org/records/12611068/files/Toli_helixer_kanzen.gff3	https://zenodo.org/records/12611068/files/Toli_helixer_kanzen.aa.fa
406589	Tenodera sinensis	Chinese praying mantis	tsinen	GCA_030324105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/324/105/GCA_030324105.1_ASM3032410v1	https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/102001_103000/102456/Tenodera_sinensis.gff3		institute of insect sciences	institute of insect sciences	community	cm	gff3_genes	https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/102001_103000/102456/Tenodera_sinensis.gff3	
2789720	Drosophila carrolli		dcarro	GCA_018152295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/152/295/GCA_018152295.1_ASM1815229v1	https://datadryad.org/dataset/doi:10.5061/dryad.mpg4f4r6w		Stanford University	University of California, Davis	community	cm	gff3_genes	https://datadryad.org/dataset/doi:10.5061/dryad.mpg4f4r6w	
212811	Drosophila prolongata		dprolo	GCA_036346975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/346/975/GCA_036346975.1_ASM3634697v1	https://datadryad.org/dataset/doi:10.5061/dryad.mpg4f4r6w		University of California, Davis	University of California, Davis	community	cm	gff3_genes	https://datadryad.org/dataset/doi:10.5061/dryad.mpg4f4r6w	
27923	Mnemiopsis leidyi	Sea walnut	mleidy	GCA_048537945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/537/945/GCA_048537945.1_crg_Mlei_v2	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_048537945.1		Centre for Genomic Regulation	Centre for Genomic Regulation	genbank	gb	gff3_genes		
2820187	Bolinopsis microptera		bmicro	GCF_026151205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/151/205/GCF_026151205.1_MBARI_Bmic_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bolinopsis_microptera/GCF_026151205.1-RS_2024_03.html	GCF_026151205.1-RS_2024_03	Monterey Bay Aquarium Research Institute	NCBI RefSeq	refseq	rs	refseq_import_visible		
63121	Ptychodera flava		pflava	GCF_041260155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/260/155/GCF_041260155.1_AS_Pfla_20210202	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Ptychodera_flava/GCF_041260155.1-RS_2024_12.html	GCF_041260155.1-RS_2024_12	Academia Sinica	NCBI RefSeq	refseq	rs	refseq_import_visible		
1443217	Glandiceps talaboti		gtalab	GCF_964340395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/340/395/GCF_964340395.1_keGlaTala1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Glandiceps_talaboti/GCF_964340395.1-RS_2025_12.html	GCF_964340395.1-RS_2025_12	Genoscope CEA	NCBI RefSeq	refseq	rs	refseq_import_visible		
2593365	Neoechinorhynchus agilis		nagili	GCA_051530055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/530/055/GCA_051530055.1_ASM5153005v1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051530055.1		Universite Libre de Bruxelles	Universite Libre de Bruxelles	genbank	gb	gff3_genes		
