_GENOME_ACCESSION_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_
GCA_021556725.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835/echinococcus_granulosus.PRJNA754835.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835/echinococcus_granulosus.PRJNA754835.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835
GCA_030248155.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805/sabatieria_punctata.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805/sabatieria_punctata.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805
GCA_030248095.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805/ptycholaimellus_gst110.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805/ptycholaimellus_gst110.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805
GCA_900004735.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992/echinococcus_canadensis.PRJEB8992.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992/echinococcus_canadensis.PRJEB8992.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992
GCA_900622495.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534/hydatigera_taeniaeformis.PRJEB534.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534/hydatigera_taeniaeformis.PRJEB534.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534
GCA_900618445.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507/hymenolepis_diminuta.PRJEB507.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507/hymenolepis_diminuta.PRJEB507.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507
GCA_902177915.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942/hymenolepis_diminuta.PRJEB30942.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942/hymenolepis_diminuta.PRJEB30942.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942
GCA_900604375.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510/mesocestoides_corti.PRJEB510.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510/mesocestoides_corti.PRJEB510.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510
GCA_001693035.2	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871/taenia_asiatica.PRJNA299871.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871/taenia_asiatica.PRJNA299871.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871
GCA_900618005.1	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532/taenia_asiatica.PRJEB532.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532/taenia_asiatica.PRJEB532.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532
