taxon_id	scientific_name	_COMMON_NAME_	_ABBREV_	_GENOME_ACCESSION_	_GENOME_FTP_URL_	_ASSEMBLY_PROVIDER_NAME_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_
6210	Echinococcus granulosus		egranu	GCA_000524195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/195/GCA_000524195.1_ASM52419v1	Chinese National Human Genome Center at Shanghai	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977/echinococcus_granulosus.PRJNA182977.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977/echinococcus_granulosus.PRJNA182977.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA182977
6185	Schistosoma haematobium		shaema	GCA_000699445.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/445/GCA_000699445.3_UoM_Shae.V3	The University of Melbourne	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265/schistosoma_haematobium.PRJNA78265.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265/schistosoma_haematobium.PRJNA78265.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/PRJNA78265
57078	Dicrocoelium dendriticum		ddendr	GCA_944474145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/474/145/GCA_944474145.1_tdDicDend1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434/dicrocoelium_dendriticum.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434/dicrocoelium_dendriticum.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/dicrocoelium_dendriticum/PRJEB44434
6192	Fasciola hepatica	Liver fluke	fhepat	GCA_948099385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/099/385/GCA_948099385.1_FhHiC23	University of Liverpool	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756/fasciola_hepatica.PRJEB58756.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756/fasciola_hepatica.PRJEB58756.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/fasciola_hepatica/PRJEB58756
39320	Heterobilharzia americana		hameri	GCA_944470545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/470/545/GCA_944470545.1_tdHetHame1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434/heterobilharzia_americana.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434/heterobilharzia_americana.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/heterobilharzia_americana/TD1_PRJEB44434
6184	Schistosoma bovis		sbovis	GCA_944470425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/470/425/GCA_944470425.1_tdSchBovi1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434/schistosoma_bovis.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434/schistosoma_bovis.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_bovis/TD1_PRJEB44434
6186	Schistosoma curassoni		scuras	GCA_944474815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/474/815/GCA_944474815.1_tdSchCurr1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434/schistosoma_curassoni.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434/schistosoma_curassoni.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_curassoni/PRJEB44434
393876	Schistosoma guineensis		sguine	GCA_944470375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/470/375/GCA_944470375.1_tdSchGuin1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434/schistosoma_guineensis.PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434/schistosoma_guineensis.PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_guineensis/PRJEB44434
6185	Schistosoma haematobium		shaema1	GCA_944470455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/470/455/GCA_944470455.1_tdSchHaem1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434/schistosoma_haematobium.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434/schistosoma_haematobium.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_haematobium/TD1_PRJEB44434
6187	Schistosoma intercalatum		sinter	GCA_944470365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/470/365/GCA_944470365.1_tdSchInte1.1	WELLCOME SANGER INSTITUTE	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434/schistosoma_intercalatum.TD1_PRJEB44434.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434/schistosoma_intercalatum.TD1_PRJEB44434.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/schistosoma_intercalatum/TD1_PRJEB44434
