_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Panamanian leaf-cutter ant	Acromyrmex echinatior	Hymenoptera (Ant)	aech	GCA_000204515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/515/GCF_000204515.1_Aech_3.9	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Vespa_velutina/100/	NCBI Acromyrmex echinatior Annotation Release 100	Beijing Genomics Institute, Shenzhen	https://www.bgi.com/us/home
Giant honeybee	Apis dorsata	Hymenoptera (Bee)	ador	GCA_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Apis_dorsata/101/	NCBI Apis dorsata Annotation Release 101	Cold Spring Harbor Laboratory	https://www.cshl.edu/
Dwarf honeybee	Apis florea	Hymenoptera (Bee)	aflo	GCA_000184785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/785/GCF_000184785.3_Aflo_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Apis_florea/102/	NCBI Apis florea Annotation Release 102	Baylor College of Medicine	https://www.bcm.edu/
Wild silkworm	Bombyx mandarina	Lepidoptera	bman	GCA_003987935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/935/GCF_003987935.1_ASM398793v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bombyx_mandarina/100/	NCBI Bombyx mandarina Annotation Release 100	Chinese Academy of Sciences	https://english.cas.cn/
Florida carpenter ant	Camponotus floridanus	Hymenoptera (Ant)	cflo	GCA_003227725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/227/725/GCF_003227725.1_Cflo_v7.5	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Camponotus_floridanus/102/	NCBI Camponotus floridanus Annotation Release 102	University of Pennsylvania	https://www.upenn.edu/
Common water flea	Daphnia pulex	Branchiopoda	pule	GCA_021134715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/134/715/GCF_021134715.1_ASM2113471v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Daphnia_pulex/100/	NCBI Daphnia pulex Annotation Release 100	Arizona State University	https://www.asu.edu/
Water flea	Daphnia pulicaria	Branchiopoda	puli	GCA_021234035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/035/GCF_021234035.1_SC_F0-13Bv2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Daphnia_pulicaria/100/	NCBI Daphnia pulicaria Annotation Release 100	University of Oklahoma	https://www.ou.edu/
Bee	Dufourea novaeangliae	Hymenoptera (Bee)	dnov	GCA_001272555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/272/555/GCF_001272555.1_ASM127255v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Dufourea_novaeangliae/100/	NCBI Dufourea novaeangliae Annotation Release 100	Beijing Genomics Institute, Shenzhen	https://www.bgi.com/us/home
Bee	Eufriesea mexicana	Hymenoptera (Bee)	emex	GCA_001483705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/705/GCF_001483705.1_ASM148370v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Eufriesea_mexicana/100/	NCBI Eufriesea mexicana Annotation Release 100	Beijing Genomics Institute, Shenzhen	https://www.bgi.com/us/home
Southeastern blueberry bee	Habropoda laboriosa	Hymenoptera (Bee)	hlab	GCA_001263275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/275/GCF_001263275.1_ASM126327v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Habropoda_laboriosa/100/	NCBI Habropoda laboriosa Annotation Release 100	Beijing Genomics Institute, Shenzhen	https://www.bgi.com/us/home
Blacklip abalone	Haliotis rubra	Gastropoda	hrub	GCA_003918875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/918/875/GCF_003918875.1_ASM391887v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Haliotis_rubra/100	NCBI Haliotis rubra Annotation Release 100	Deakin University	https://www.deakin.edu.au/
Red abalone	Haliotis rufescens	Gastropoda	hruf	GCA_023055435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/055/435/GCF_023055435.1_xgHalRufe1.0.p	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Haliotis_rufescens/101/	NCBI Haliotis rufescens Annotation Release 101	Department of Ecology and Evolutionary Biology, UCLA	https://www.eeb.ucla.edu
Indian jumping ant	Harpegnathos saltator	Hymenoptera (Ant)	hsal	GCA_003227715.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/227/715/GCF_003227715.2_Hsal_v8.6	https://www.ncbi.nlm.nih.gov/assembly/GCF_003227715.2	GCF_003227715.2	University of Pennsylvania	https://www.upenn.edu/
Swiftwater hydra	Hydra vulgaris	Cnidaria	hvul	GCA_022113875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/113/875/GCF_022113875.1_Hydra_105_v3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Hydra_vulgaris/103/	NCBI Hydra vulgaris Annotation Release 103	University of Vienna	https://www.univie.ac.at/en/
Argentine ant	Linepithema humile	Hymenoptera (Ant)	lhum	GCA_000217595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/595/GCF_000217595.1_Lhum_UMD_V04	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Linepithema_humile/100/	NCBI Linepithema humile Annotation Release 100	The Ant Genomics Consortium	http://www.antgenomics.org/
Alfalfa leafcutting bee	Megachile rotundata	Hymenoptera (Bee)	mrot	GCA_000220905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/905/GCF_000220905.1_MROT_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Megachile_rotundata/101/	NCBI Megachile rotundata Annotation Release 101	University of Maryland	https://www.umd.edu/
Fleshy prawn	Penaeus chinensis	Malacostraca	pchi	GCA_019202785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/202/785/GCF_019202785.1_ASM1920278v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Penaeus_chinensis/100	NCBI Penaeus chinensis Annotation Release 100	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	http://www.ysfri.ac.cn/
Red harvester ant	Pogonomyrmex barbatus	Hymenoptera (Ant)	pbar	GCA_000187915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/915/GCF_000187915.1_Pbar_UMD_V03	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pogonomyrmex_barbatus/101/	NCBI Pogonomyrmex barbatus Annotation Release 101	The Ant Genomics Consortium	http://www.antgenomics.org/
Dog tapeworm	Echinococcus granulosus	Platyhelminthes	egra	GCA_000524195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/195/GCF_000524195.1_ASM52419v1	https://www.ncbi.nlm.nih.gov/assembly/GCF_000524195.1/	GCF_000524195.1	Chinese National Human Genome Center at Shanghai	http://www.chgc.sh.cn/
