_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
Orb Weaver	Uloborus diversus	Araneae	udiv	GCA_026930045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/930/045/GCF_026930045.1_Udiv.v.3.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Uloborus_diversus/GCF_026930045.1-RS_2023_03/	NCBI Uloborus diversus Annotation Release GCF_026930045.1-RS_2023_03	Johns Hopkins University	https://www.jhu.edu/
Black flour beetle	Tribolium madens	Coleoptera	tmad	GCA_015345945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/345/945/GCF_015345945.1_Tmad_KSU_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Tribolium_madens/100/	NCBI Tribolium madens Annotation Release 100	Kansas State University	https://www.k-state.edu/
Great Scallop	Pecten maximus	Bivalvia	pmax	GCA_902652985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/652/985/GCF_902652985.1_xPecMax1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Pecten_maximus/100/	NCBI Pecten maximus Annotation Release 100	Wellcome Sanger Institute	https://www.sanger.ac.uk/
Water bear tardigrade	Paramacrobiotus metropolitanus	Eutardigrada	pmet	GCA_019649055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/649/055/GCF_019649055.1_Prichtersi_v1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Paramacrobiotus_metropolitanus/GCF_019649055.1-RS_2023_04/	NCBI Paramacrobiotus metropolitanus Annotation Release GCF_019649055.1-RS_2023_04	The University of Tokyo	https://www.u-tokyo.ac.jp/en/
Australian red claw crayfish	Cherax quadricarinatus	Malacostraca	cqua	GCA_026875155.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/875/155/GCF_026875155.1_ASM2687515v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Cherax_quadricarinatus/GCF_026875155.1-RS_2023_01/	NCBI Cherax quadricarinatus Annotation Release GCF_026875155.1-RS_2023_01	Zhejiang Academy of Agricultural Sciences	http://www.zaas.ac.cn/index.cfm?language=en&style=2
Chinese mitten crab	Eriocheir sinensis	Malacostraca	esin	GCA_024679095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/679/095/GCF_024679095.1_ASM2467909v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Eriocheir_sinensis/100/	NCBI Eriocheir sinensis Annotation Release 100	Shanghai Ocean University	https://www.shou.edu.cn/eng/
Water flea	Daphnia carinata	Branchiopoda	dcar	GCA_022539665.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/539/665/GCF_022539665.1_CSIRO_AGI_Dcar_v0.2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Daphnia_carinata/GCF_022539665.1-RS_2023_06/	NCBI Daphnia carinata Annotation Release GCF_022539665.1-RS_2023_06	Australian Pest Genome Partnership	https://ardc.edu.au/project/au-pest-genomes/
Cat flea	Ctenocephalides felis	Siphonaptera	cfel	GCA_003426905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/905/GCF_003426905.1_ASM342690v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Ctenocephalides_felis/100/	NCBI Ctenocephalides felis Annotation Release 100	West Virginia University	https://www.wvu.edu/
Brown marmorated stink bug	Halyomorpha halys	Hemiptera	hhal	GCA_000696795.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.2_Hhal_2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Halyomorpha_halys/101/	NCBI Halyomorpha halys Annotation Release 101	The i5k Initiative	https://www.hgsc.bcm.edu/
Asian citrus psyllid	Diaphorina citri	Hemiptera	dcit	GCA_000475195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/475/195/GCF_000475195.1_Diaci_psyllid_genome_assembly_version_1.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Diaphorina_citri/102/	NCBI Diaphorina citri Annotation Release 102	International Psyllid Genome Consortium	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA29447/
