_GENOME_ACCESSION_	_ANNOTATION_PROVIDER_NAME_
GCA_021556725.1	University of Melbourne
GCA_030248155.1	WormBase Parasite
GCA_030248095.1	WormBase Parasite
GCA_900004735.1	WormBase Parasite
GCA_900622495.1	WTSI
GCA_900618445.1	WTSI
GCA_902177915.1	UNIVERSITY OF WARMIA AND MAZURY
GCA_900604375.1	WTSI
GCA_001693035.2	WormBase Parasite
GCA_900618005.1	WTSI
GCA_001923025.3	WormBase Parasite
GCA_001693075.2	WormBase Parasite
GCA_030247985.1	WormBase Parasite
GCA_030248175.1	WormBase Parasite
GCA_900618415.1	WTSI
GCA_900617775.1	WTSI
GCA_900618435.1	WTSI
GCA_000951995.1	WormBase Parasite
GCA_030248295.1	WormBase Parasite
GCA_030248215.1	WormBase Parasite
GCA_030248225.1	WormBase Parasite
GCA_030248195.1	WormBase Parasite
GCA_030248245.1	WormBase Parasite
GCA_012064415.1	WormBase Parasite
GCA_000715275.1	WormBase Parasite
GCA_001188465.1	WormBase Parasite
GCA_002269645.1	University Medical Center Groningen
GCA_001039655.1	WormBase Parasite
GCA_030248115.1	WormBase Parasite
GCA_030248085.1	WormBase Parasite
GCA_030248065.1	WormBase Parasite
GCA_030248135.1	WormBase Parasite
GCA_000236345.1	WormBase Parasite
GCA_004794785.1	Institute of Cytology and Genetics SB RAS
GCA_000715545.1	The University of Melbourne
GCA_013407085.1	WormBase Parasite
GCA_900618425.1	WTSI
GCA_006461475.1	The Genome Institute
GCA_002763495.2	The Genome Institute
GCA_008360955.1	McDonnell Genome Institute
GCA_013368495.1	McDonnell Genome Institute
GCA_014220965.1	The Genome Institute
GCA_014338405.1	The Genome Institute
GCA_008508345.1	University of Queensland
GCA_015252655.1	The Genome Institute
GCA_002796945.1	WormBase Parasite
GCA_900537255.1	BANG
GCA_900406225.1	WormBase Parasite
GCA_003336725.1	The Genome Institute
GCA_000402015.1	The Genome Institute
GCA_000688135.1	Cornell University
GCA_000816745.1	The Genome Institute
GCA_009735665.1	Sun Yat-sen University
GCA_900624975.1	WTSI
GCA_018806985.1	WormBase Parasite
GCA_900617985.1	WTSI
GCA_024699835.1	Academia Sinica
GCA_024699855.1	Academia Sinica
GCA_024699875.1	Academia Sinica
GCA_024699915.1	Academia Sinica
GCA_024699845.1	Academia Sinica
GCA_024699865.1	Academia Sinica
GCA_943334845.2	UNIVERSITY OF WARWICK
GCA_024678965.1	WormBase Parasite
GCA_900618355.1	WTSI
GCA_900618025.1	WTSI
GCA_014805405.1	WormBase Parasite
GCA_904067145.1	University of Miyazaki
GCA_904067135.1	University of Miyazaki
GCA_000165025.1	WormBase Parasite
GCA_904845305.1	University of Miyazaki
GCA_900536315.3	WormBase Parasite
GCA_021491975.1	NORTHWESTERN UNIVERSITY
GCA_022453885.1	NORTHWESTERN UNIVERSITY
GCA_003052745.1	WormBase Parasite
GCA_002742825.1	Cornell University
GCA_900883565.2	WormBase Parasite
GCA_900536235.3	WormBase Parasite
GCA_000186765.1	WormBase Parasite
GCA_916381525.1	Wellcome Sanger Institute
GCA_958299035.1	inrae centre val de loire
GCA_900617965.1	WTSI
GCA_000816705.1	The Genome Institute
GCA_014805445.1	WormBase Parasite
GCA_002207785.1	WormBase Parasite
GCA_002287525.1	New York University
GCA_024305405.1	University of Malaga
GCA_001579705.1	WormBase Parasite
GCA_022814885.1	The Institute of Vegetables and Flowers CAAS
GCA_004194705.1	WormBase Parasite
GCA_900576705.1	WTSI
GCA_000724045.1	WormBase Parasite
GCA_020449905.1	WormBase Parasite
GCA_023343765.1	University of St Andrews
GCA_018350315.1	WormBase Parasite
GCA_018350325.1	WormBase Parasite
GCA_900617915.1	WTSI
GCA_900617895.1	WTSI
GCA_009193035.1	WormBase Parasite
GCA_009761265.1	Indiana University
